address,name,size_bytes,callers,callees
0x008295f8,FUN_008295f8,18,5,1
0x00829614,FUN_00829614,32,1,1
0x00829634,FUN_00829634,18,0,2
0x00829646,FUN_00829646,24,3,1
0x0082965e,FUN_0082965e,42,1,3
0x00829688,FUN_00829688,48,3,2
0x008296b8,FUN_008296b8,20,4,1
0x008296cc,FUN_008296cc,36,1,2
0x008296f0,FUN_008296f0,38,1,2
0x00829716,FUN_00829716,32,1,1
0x00829736,FUN_00829736,22,6,1
0x0082974c,FUN_0082974c,34,1,2
0x0082976e,FUN_0082976e,68,7,2
0x008297b2,FUN_008297b2,168,10,8
0x0082985a,FUN_0082985a,72,13,0
0x008298a2,FUN_008298a2,54,6,0
0x008298d8,FUN_008298d8,144,1,3
0x00829968,FUN_00829968,94,1,6
0x008299e4,FUN_008299e4,86,0,1
0x00829a3a,FUN_00829a3a,96,4,4
0x00829a9a,FUN_00829a9a,158,0,2
0x00829b38,FUN_00829b38,138,5,4
0x00829bc2,FUN_00829bc2,104,4,5
0x00829c2a,FUN_00829c2a,34,0,1
0x00829c4c,FUN_00829c4c,8,1,0
0x00829c54,FUN_00829c54,38,1,2
0x00829c7a,FUN_00829c7a,32,0,1
0x00829cb2,FUN_00829cb2,2,1,0
0x00829cb6,FUN_00829cb6,2,1,0
0x00829cb8,FUN_00829cb8,44,26,3
0x00829ce4,FUN_00829ce4,24,26,2
0x00829d14,FUN_00829d14,54,1,1
0x00829d4a,FUN_00829d4a,42,1,1
0x00829d74,FUN_00829d74,78,1,1
0x00829dc2,FUN_00829dc2,42,3,1
0x00829dec,FUN_00829dec,40,3,1
0x00829e24,FUN_00829e24,2,3,0
0x00829e26,FUN_00829e26,2,2,0
0x00829e28,FUN_00829e28,2,2,0
0x00829e2a,FUN_00829e2a,4,1,0
0x00829e2e,FUN_00829e2e,4,2,0
0x00829e32,FUN_00829e32,4,1,0
0x00829e36,FUN_00829e36,2,1,0
0x00829e38,FUN_00829e38,2,1,0
0x00829e3a,FUN_00829e3a,2,1,0
0x00829e3c,FUN_00829e3c,2,1,0
0x00829e3e,FUN_00829e3e,4,1,0
0x00829e42,FUN_00829e42,2,1,0
0x00829e4c,FUN_00829e4c,2,1,0
0x00829e4e,FUN_00829e4e,2,1,0
0x00829e50,FUN_00829e50,2,2,0
0x00829e52,FUN_00829e52,2,1,0
0x00829e54,FUN_00829e54,2,1,0
0x00829e5a,FUN_00829e5a,2,2,0
0x00829e5c,FUN_00829e5c,2,1,0
0x00829e5e,FUN_00829e5e,2,1,0
0x00829e60,FUN_00829e60,2,1,0
0x00829e62,FUN_00829e62,2,1,0
0x00829e64,FUN_00829e64,2,1,0
0x00829e66,FUN_00829e66,8,2,0
0x00829e6e,FUN_00829e6e,8,1,0
0x00829e76,FUN_00829e76,8,1,0
0x00829e84,FUN_00829e84,2,1,0
0x00829e86,FUN_00829e86,2,0,0
0x00829e88,FUN_00829e88,2,1,0
0x00829e8a,FUN_00829e8a,2,1,0
0x00829e8c,FUN_00829e8c,4,1,0
0x00829e90,FUN_00829e90,4,1,0
0x00829e94,FUN_00829e94,4,1,0
0x00829e98,checksum_u8,26,50,0
0x00829eb2,FUN_00829eb2,158,3,4
0x00829f50,FUN_00829f50,28,0,2
0x00829f6c,app_ring_sport_data,26,1,1
0x00829f86,FUN_00829f86,1044,1,21
0x0082a3c8,FUN_0082a3c8,522,1,12
0x0082a5d2,FUN_0082a5d2,28,0,2
0x0082a5ee,FUN_0082a5ee,28,1,1
0x0082a60a,FUN_0082a60a,12,1,2
0x0082a616,FUN_0082a616,78,7,3
0x0082a664,FUN_0082a664,34,8,1
0x0082a686,FUN_0082a686,30,1,1
0x0082a6a4,FUN_0082a6a4,24,1,2
0x0082a6bc,FUN_0082a6bc,148,1,8
0x0082a750,FUN_0082a750,38,1,2
0x0082a776,FUN_0082a776,54,1,2
0x0082a7d4,FUN_0082a7d4,66,1,1
0x0082a816,FUN_0082a816,314,1,17
0x0082a950,FUN_0082a950,60,1,4
0x0082a98e,reply_unsupported,36,1,1
0x0082a9b2,FUN_0082a9b2,308,1,10
0x0082aae6,FUN_0082aae6,134,1,7
0x0082ab6c,queue_cmd_for_task,46,3,2
0x0082ab9a,FUN_0082ab9a,74,1,4
0x0082abe4,FUN_0082abe4,66,1,4
0x0082ac26,FUN_0082ac26,122,1,7
0x0082acbc,FUN_0082acbc,44,1,3
0x0082ace8,FUN_0082ace8,16,1,2
0x0082acf8,FUN_0082acf8,204,1,12
0x0082adc4,FUN_0082adc4,46,2,2
0x0082adf2,FUN_0082adf2,12,0,2
0x0082adfe,FUN_0082adfe,52,1,4
0x0082ae32,FUN_0082ae32,82,1,4
0x0082ae84,FUN_0082ae84,88,1,5
0x0082aedc,FUN_0082aedc,126,1,4
0x0082af5a,FUN_0082af5a,334,1,12
0x0082b0a8,FUN_0082b0a8,446,1,14
0x0082b268,FUN_0082b268,84,1,6
0x0082b2d0,FUN_0082b2d0,82,1,4
0x0082b322,FUN_0082b322,56,1,3
0x0082b35a,FUN_0082b35a,90,1,2
0x0082b3b4,FUN_0082b3b4,288,1,7
0x0082b4dc,FUN_0082b4dc,60,1,4
0x0082b518,FUN_0082b518,20,1,2
0x0082b52c,FUN_0082b52c,96,1,3
0x0082b58c,FUN_0082b58c,88,1,6
0x0082b5e4,FUN_0082b5e4,66,1,4
0x0082b626,ble_cmd_dispatch,812,0,58
0x0082b9b6,FUN_0082b9b6,16,0,0
0x0082b9c6,FUN_0082b9c6,24,0,2
0x0082b9de,send_chunked,82,3,3
0x0082ba30,FUN_0082ba30,122,1,5
0x0082baaa,FUN_0082baaa,82,1,4
0x0082bafc,FUN_0082bafc,120,1,5
0x0082bb76,FUN_0082bb76,146,1,7
0x0082bc08,FUN_0082bc08,26,1,3
0x0082bc22,FUN_0082bc22,252,1,10
0x0082bd1e,FUN_0082bd1e,88,1,4
0x0082bd76,FUN_0082bd76,242,1,7
0x0082be70,FUN_0082be70,60,1,5
0x0082beac,FUN_0082beac,36,1,2
0x0082bed0,FUN_0082bed0,308,1,12
0x0082c00c,FUN_0082c00c,210,1,5
0x0082c0de,FUN_0082c0de,398,1,12
0x0082c28a,FUN_0082c28a,134,1,9
0x0082c310,FUN_0082c310,314,0,24
0x0082c44a,FUN_0082c44a,228,16,13
0x0082c53a,FUN_0082c53a,42,4,2
0x0082c564,FUN_0082c564,66,0,2
0x0082c5a6,FUN_0082c5a6,22,2,0
0x0082c5bc,FUN_0082c5bc,110,1,3
0x0082c63c,FUN_0082c63c,38,0,1
0x0082c662,FUN_0082c662,36,0,1
0x0082c694,FUN_0082c694,40,1,2
0x0082c6bc,FUN_0082c6bc,48,0,3
0x0082c6ec,FUN_0082c6ec,6,4,0
0x0082c6f2,FUN_0082c6f2,12,0,1
0x0082c6fe,FUN_0082c6fe,180,1,5
0x0082c7b2,FUN_0082c7b2,132,1,4
0x0082c836,FUN_0082c836,12,1,0
0x0082c842,FUN_0082c842,8,0,1
0x0082c84a,FUN_0082c84a,80,3,2
0x0082c89a,FUN_0082c89a,378,1,18
0x0082ca14,FUN_0082ca14,232,1,3
0x0082cb30,FUN_0082cb30,240,1,12
0x0082cc2e,FUN_0082cc2e,44,0,3
0x0082cc5a,FUN_0082cc5a,98,0,1
0x0082cdfc,FUN_0082cdfc,18,1,1
0x0082ce0e,FUN_0082ce0e,22,1,1
0x0082ce24,FUN_0082ce24,8,0,1
0x0082ce2c,FUN_0082ce2c,8,0,1
0x0082ce34,FUN_0082ce34,8,0,1
0x0082ce3c,FUN_0082ce3c,18,1,1
0x0082ce4e,FUN_0082ce4e,66,1,9
0x0082cea0,FUN_0082cea0,6,2,0
0x0082cea6,FUN_0082cea6,192,0,4
0x0082cf66,FUN_0082cf66,20,6,1
0x0082cf7a,FUN_0082cf7a,16,5,0
0x0082cf8a,FUN_0082cf8a,34,2,3
0x0082cfac,FUN_0082cfac,20,2,1
